"2075","4,4","6,11"
"2076","4,4","6,13"
"2077","4","6"
"2078","4,4","6,11"
"2079","4","6"
"2080","1,3","50,13"
"2081","1,3","50,13"
"2082","1,3","50,13"
"2083","1,3","50,13"
"2084","1,3","50,13"
"2085","1,3","50,13"
"2086","1,3","50,13"
"2087","6,7","28,44"
"2088","6,6","28,30"
"2089","6","23"
"2090","6","23"
"2091","6","28"
"2092","2,6,6","1,28,30"
"2093","6","23"
"2094","6","27,28"
"2095","6","28"
"2096","7,7","41,44"
"2097","7,7","41,44"
"2098","7,7","41,44"
"2099","7,7","41,44"
"2100","7,7","41,44"
"2101","7,7","41,44"
"2102","7","41,44"
"2103","7,7,7","41,43,44"
"2104","7,7,7","41,43,44"
"2105","7,7","41,43"
"2106","8","51"
"2107","8","51"
"2108","8","51"
"2109","8","51"
"2110","8","51"
"2111","3","14"
"2112","3","14"
"2113","3","14"
"2114","3","16"
"2115","3","16"
"2116","3","14"
"2117","3","14"
"2118","3","16"
"2119","3","12"
"2120","3","14"
"2121","3","14"
"2122","3","16"
"2123","3","14"
"2124","3","14"
"2125","3","14"
"2126","3","14"
"2127","3","16"
"2128","3","14"
"2129","3","18"
"2130","3","18"
"2131","3","14"
"2132","3","14"
"2133","3","18"
"2134","3","14"
"2135","3","14"
"2136","3","14"
"2137","5","60"
"2138","5","60"
"2139","2,2,3","1,4,14"
"2140","2,6","1,39"
"2141","2,6","1,39"
"2142","2","1"
"2143","2,3","1,13"
"2144","2","1"
"2145","2","1"
"2146","2","1"
"2147","2,6,6","1,30,32"
"2148","2,6,6","1,30,32"
"2149","2,6,6","1,30,32"
"2150","2,6,6","1,30,32"
"2151","2,6,6","1,30,32"
"2152","2,6","1,32"
"2153","2,6","1,32"
"2154","2,6","1,32"
"2155","2,6","1,32"
"2156","2,6","1,32"
"2157","4,4","6,11"
"2158","4","6"
"2159","4,4","6,11"
"2160","4","6"
"2161","4,4","6,11"
"2162","4,4","6,11"
"2163","4","6"
"2164","4,4","6,11"
"2165","4,6","6,32"
"2166","4,4","6,11"
"2167","4,4","6,11"
"2168","1,7,7,7","50,38,43,44"
"2169","1","50"
"2170","1","50"
"2171","1","50"
"2172","6","28"
"2173","6","28"
"2174","6","28"
"2175","6","28"
"2176","6","23"
"2177","6","23"
"2178","6","28"
"2179","6","28"
"2180","6","23"
"2181","6","23"
"2182","7,7,7","38,41,44"
"2183","7,7,7","38,41,44"
"2184","7,7,7","38,41,44"
"2185","7,7,7","38,41,44"
"2186","7,7,7","38,41,44"
"2187","8","51"
"2188","8","51"
"2189","8","51"
"2190","8","51"
"2191","3","16"
"2192","3","14"
"2193","3","16"
"2194","3","16"
"2195","3","18"
"2196","3","16"
"2197","3","14"
"2198","3","14"
"2199","3","14"
"2200","3","18"
"2201","3,6","18,32"
"2202","3","18"
"2203","3","18"
"2204","3","16"
"2205","3","18"
"2206","3","18"
"2207","3","16"
"2208","3","16"
"2209","2","1,4"
"2210","2","1"
"2211","2","1"
"2212","2,6","1,30"
"2213","2,6","1,30"
"2214","2,6","1,30"
"2215","2,6","1,32"
"2216","2","1"
"2217","2,6","1,28"
"2218","2","1"
"2219","2,2,3","1,2,20"
"2220","2,2","1,4"
"2221","2,2","1,4"
"2222","2,2","1,4"
"2223","2,2,2,6","1,2,4,28"
"2224","2,6","1,32"
"2225","2,6","1,32"
"2226","2,6","1,32"
"2227","2,6","1,32"
"2228","2,6","1,32"
"2229","2,6","1,32"
"2230","2,6","1,32"
"2231","2,6","1,32"
"2232","2,6","1,32"
"2233","2,6","1,32"
"2234","4,4","6,13"
"2235","4","6"
"2236","4","6"
"2237","4","6"
"2238","4","6"
"2239","4","6"
"2240","4,4","6,11"
"2241","4","6"
"2242","4","6"
"2243","4,4","6,11"
"2244","4,4","6,13"
"2245","4","6"
"2246","4,4","6,13"
"2247","4","6"
"2248","4","6"
"2249","1","50"
"2250","1,3,6,","50,17,30"
"2251","1,6","50,4,30"
"2252","6,6","23,28"
"2253","6","23"
"2254","6","28"
"2255","6","28"
